['48.895386#2.069087#1', '48.895672#2.084807#1'] 17
['48.895672#2.084807#0', '48.895386#2.069087#1'] 17
['48.795645#2.641165#0', '48.804368#2.621496#1'] 13
['48.795645#2.641165#0', '48.804368#2.621496#0'] 17
['48.875473#2.532922#0', '48.883788#2.511330#0'] 14
['48.995950#2.382525#0', '48.996896#2.362662#0'] 19
['48.995950#2.382525#0', '48.973242#2.372624#0', '48.973242#2.372624#1'] 14
['48.923866#2.243489#1', '48.939045#2.220896#1'] 12
['48.923626#2.255745#0', '48.923866#2.243489#1'] 12
['48.956181#2.278823#0', '48.967970#2.257986#0'] 17
['48.956181#2.278823#0', '48.960864#2.292833#0'] 13
['49.040621#2.067962#0', '49.037183#2.086445#0', '49.040621#2.067962#1'] 15
['48.804368#2.621496#1', '48.797008#2.610334#1'] 13
['48.923866#2.243489#0', '48.923626#2.255745#0'] 22
['48.764306#2.270864#0', '48.787640#2.281050#0'] 13
['48.764306#2.270864#0', '48.733322#2.263597#1'] 13
['48.972447#2.312795#0', '48.974898#2.343619#1'] 14
['48.797008#2.610334#0', '48.783712#2.602045#1'] 16
['48.866650#2.446971#0', '48.874156#2.461725#0', '48.874156#2.461725#1'] 17
['48.866650#2.446971#0', '48.858531#2.445885#0'] 15
['48.866650#2.446971#0', '48.869231#2.429384#0'] 13
['48.794700#2.504082#0', '48.801012#2.481990#0'] 15
['48.779512#2.313083#1', '48.789058#2.322387#1'] 12
['49.011827#2.238695#0', '49.016229#2.208805#0'] 14
['48.870816#2.173683#0', '48.881017#2.181312#0', '48.870816#2.173683#1'] 20
['48.870816#2.173683#1', '48.850795#2.197025#1'] 14
['48.870816#2.173683#1', '48.881017#2.181312#1'] 18
['48.541830#2.660242#0', '48.525350#2.645720#0'] 12
['48.853204#2.484699#0', '48.850493#2.471987#1', '48.853204#2.484699#1'] 14
['48.762652#2.328610#0', '48.776918#2.353422#0'] 19
['48.762652#2.328610#0', '48.776918#2.353422#1'] 15
['48.690696#2.500726#0', '48.678214#2.532544#0'] 14
['48.690696#2.500726#0', '48.702721#2.462612#0'] 12
['48.974898#2.343619#0', '48.972447#2.312795#0'] 13
['48.798896#2.375618#0', '48.790154#2.389585#0'] 14
['48.832493#2.535334#0', '48.817920#2.544864#1'] 14
['48.817920#2.544864#1', '48.832493#2.535334#1'] 19
['48.803998#2.549684#0', '48.817920#2.544864#1'] 12
['48.846292#2.517464#1', '48.832493#2.535334#1'] 15
['48.604454#2.572366#0', '48.586168#2.582001#0'] 18
['48.867424#2.136955#0', '48.826525#2.230830#0', '48.867424#2.136955#1'] 17
['48.945243#2.384166#1', '48.949062#2.374304#1'] 18
['48.784176#2.361641#0', '48.776918#2.353422#0'] 12
['48.885699#2.470878#1', '48.891446#2.462865#1'] 17
['48.885699#2.470878#1', '48.886451#2.490017#1'] 14
['48.891446#2.462865#0', '48.885699#2.470878#1'] 12
['48.997319#2.260107#0', '48.979049#2.271983#0'] 16
['48.953807#2.549579#0', '48.951446#2.569178#0'] 16
['48.733870#2.227902#0', '48.713617#2.248758#0', '48.733322#2.263597#0', '48.733870#2.227902#1'] 13
['48.733870#2.227902#0', '48.734525#2.289319#0'] 16
['49.016229#2.208805#0', '49.011827#2.238695#1'] 12
['48.826581#1.989355#0', '48.801780#2.063047#0'] 12
['48.826581#1.989355#0', '48.795647#2.141527#0'] 14
['48.809767#2.518537#0', '48.817920#2.544864#0'] 17
['48.809767#2.518537#0', '48.816726#2.500681#0'] 13
['48.809767#2.518537#0', '48.832493#2.535334#0'] 12
['48.680803#2.413179#0', '48.699461#2.383516#0'] 14
['48.828260#2.266924#1', '48.818154#2.262416#1'] 12
['48.848740#2.283971#0', '48.828260#2.266924#1'] 12
['48.744175#2.411743#0', '48.762973#2.414539#0'] 14
['48.644124#2.356530#0', '48.644124#2.356530#1', '48.654661#2.370519#1'] 13
['48.644124#2.356530#0', '48.642067#2.339758#0', '48.642067#2.339758#1'] 13
['48.644124#2.356530#0', '48.654661#2.370519#0'] 15
['48.644124#2.356530#0', '48.672882#2.359563#0'] 14
['48.939045#2.220896#0', '48.950289#2.248321#0'] 17
['48.801780#2.063047#0', '48.791012#2.124831#0'] 15
