['48.883694#2.332549#0', '48.884032#2.337730#0', '48.886342#2.342193#0'] 28
['48.883694#2.332549#0', '48.858221#2.294241#0'] 21
['48.883694#2.332549#0', '48.886342#2.342193#1'] 28
['48.883694#2.332549#0', '48.853076#2.348191#0'] 20
['48.883694#2.332549#0', '48.871809#2.332093#0'] 24
['48.883694#2.332549#0', '48.861963#2.335616#1'] 25
['48.883694#2.332549#0', '48.861963#2.335616#0'] 33
['48.861516#2.341838#1', '48.866243#2.346136#1'] 21
['48.861516#2.341838#1', '48.857877#2.336292#1'] 23
['48.861516#2.341838#1', '48.866383#2.336369#1'] 20
['48.861516#2.341838#1', '48.853076#2.348191#1'] 26
['48.861516#2.341838#1', '48.861963#2.335616#1'] 53
['48.861516#2.341838#1', '48.856729#2.351007#1'] 25
['48.861963#2.335616#0', '48.861516#2.341838#1'] 30
['48.871044#2.356421#0', '48.878264#2.356160#0'] 22
['48.871044#2.356421#0', '48.873294#2.363426#0'] 39
['48.873073#2.337219#0', '48.873950#2.343426#0'] 23
['48.873073#2.337219#0', '48.867465#2.341485#0'] 28
['48.873073#2.337219#0', '48.874779#2.327955#0'] 25
['48.873073#2.337219#0', '48.871809#2.332093#1'] 24
['48.873073#2.337219#0', '48.871809#2.332093#0'] 58
['48.860044#2.325422#1', '48.864878#2.323431#1'] 41
['48.860044#2.325422#1', '48.858574#2.298731#1'] 25
['48.860044#2.325422#1', '48.858221#2.294241#1'] 27
['48.860044#2.325422#1', '48.853076#2.348191#1'] 39
['48.860044#2.325422#1', '48.861963#2.335616#1'] 59
['48.860044#2.325422#1', '48.856729#2.351007#1'] 30
['48.861963#2.335616#0', '48.860044#2.325422#1'] 33
['48.884032#2.337730#0', '48.883694#2.332549#1'] 21
['48.884032#2.337730#0', '48.886342#2.342193#1'] 44
['48.884032#2.337730#0', '48.861963#2.335616#0'] 34
['48.865369#2.301374#0', '48.870106#2.300457#0'] 28
['48.865369#2.301374#0', '48.866972#2.306380#0'] 32
['48.865369#2.301374#0', '48.870409#2.309022#0'] 25
['48.865369#2.301374#0', '48.858574#2.298731#0'] 21
['48.865369#2.301374#0', '48.864499#2.296196#1'] 27
