['51.491360#-0.072293#1', '51.490508#-0.087986#1'] 12
['51.499141#-0.080067#0', '51.491360#-0.072293#1'] 10
['51.585269#-0.228948#0', '51.588816#-0.216020#1'] 9
['51.588816#-0.216020#1', '51.585269#-0.228948#1'] 11
['51.415229#-0.223885#1', '51.418361#-0.205184#1'] 8
['51.418361#-0.205184#0', '51.415229#-0.223885#1'] 11
['51.478257#-0.029323#0', '51.471056#-0.034446#1'] 10
['51.478257#-0.029323#0', '51.476410#-0.041613#0'] 10
['51.478257#-0.029323#0', '51.490258#-0.046170#0'] 11
['51.470721#-0.055326#0', '51.476410#-0.041613#0'] 8
['51.470721#-0.055326#0', '51.470187#-0.070420#0'] 10
['51.454971#-0.163858#1', '51.463919#-0.170362#1'] 9
['51.463919#-0.170362#0', '51.454971#-0.163858#1'] 9
['51.420083#-0.190977#0', '51.418361#-0.205184#1'] 8
['51.420083#-0.190977#0', '51.415229#-0.223885#0'] 8
['51.420083#-0.190977#0', '51.418361#-0.205184#0'] 11
['51.418361#-0.205184#1', '51.420083#-0.190977#1'] 10
['51.415229#-0.223885#0', '51.418361#-0.205184#1'] 8
['51.556184#-0.164179#1', '51.551556#-0.154237#1'] 12
['51.522731#-0.036111#0', '51.511523#-0.028831#1'] 8
['51.511523#-0.028831#1', '51.522731#-0.036111#1'] 9
['51.442285#-0.184322#0', '51.458349#-0.190212#1'] 13
['51.442285#-0.184322#0', '51.458349#-0.190212#0'] 10
['51.533274#-0.227990#1', '51.533062#-0.215480#1'] 11
['51.533062#-0.215480#0', '51.533274#-0.227990#1'] 9
['51.442285#-0.184322#1', '51.458349#-0.190212#1'] 10
['51.458349#-0.190212#0', '51.442285#-0.184322#1'] 10
['51.420083#-0.190977#1', '51.441812#-0.200444#1'] 10
['51.418361#-0.205184#0', '51.420083#-0.190977#1'] 11
['51.551556#-0.154237#0', '51.556184#-0.164179#0'] 14
['51.494452#-0.310360#0', '51.510259#-0.317419#1'] 8
['51.510259#-0.317419#1', '51.526246#-0.079833#1'] 11
['51.507755#-0.271548#0', '51.527588#-0.204959#0', '51.507755#-0.271548#1'] 8
['51.494452#-0.310360#0', '51.511831#-0.302396#0'] 10
['51.509496#-0.040468#0', '51.515364#-0.146889#0', '51.509496#-0.040468#1'] 9
['51.509496#-0.040468#0', '51.511523#-0.028831#0'] 10
['51.543865#-0.168229#1', '51.546014#-0.181029#1'] 8
['51.527624#-0.183155#0', '51.543865#-0.168229#1'] 10
['51.511831#-0.302396#1', '51.494452#-0.310360#1'] 12
['51.479114#-0.215329#0', '51.480982#-0.200875#1'] 10
['51.479114#-0.215329#0', '51.490846#-0.222988#0'] 8
['51.479114#-0.215329#0', '51.472495#-0.203903#0'] 12
['51.479114#-0.215329#1', '51.463329#-0.215425#1'] 9
['51.479114#-0.215329#1', '51.490846#-0.222988#1'] 10
['51.472495#-0.203903#0', '51.479114#-0.215329#1'] 8
['51.491360#-0.072293#0', '51.480580#-0.061626#0'] 8
['51.491360#-0.072293#0', '51.490508#-0.087986#0'] 11
['51.491360#-0.072293#0', '51.495846#-0.062361#0'] 10
['51.491360#-0.072293#0', '51.499141#-0.080067#0'] 11
['51.454971#-0.163858#0', '51.475447#-0.169583#1'] 8
['51.454971#-0.163858#0', '51.463919#-0.170362#0'] 19
['51.454971#-0.163858#0', '51.484062#-0.179006#0'] 10
['51.543006#-0.105798#0', '51.551877#-0.110646#1'] 9
['51.480580#-0.061626#0', '51.470187#-0.070420#0'] 14
['51.480580#-0.061626#1', '51.490258#-0.046170#1'] 8
['51.517527#-0.064140#0', '51.480580#-0.061626#1'] 9
['51.511831#-0.302396#0', '51.494452#-0.310360#1'] 11
['51.415229#-0.223885#0', '51.418361#-0.205184#0'] 19
['51.511523#-0.028831#0', '51.510221#-0.054646#0'] 10
['51.511523#-0.028831#0', '51.522731#-0.036111#0'] 11
['51.471056#-0.034446#0', '51.476410#-0.041613#1'] 16
['51.471056#-0.034446#0', '51.476410#-0.041613#0'] 14
['51.471056#-0.034446#1', '51.476410#-0.041613#1'] 12
['51.476410#-0.041613#0', '51.471056#-0.034446#1'] 12
['51.510828#-0.230087#1', '51.507732#-0.220152#1'] 9
['51.535192#-0.028499#0', '51.533620#-0.041028#0'] 11
['51.535192#-0.028499#0', '51.529483#-0.054887#0'] 9
['51.474848#-0.111254#0', '51.470442#-0.099923#1'] 9
['51.474848#-0.111254#0', '51.470442#-0.099923#0'] 9
['51.551556#-0.154237#1', '51.542385#-0.147899#1'] 10
['51.526776#-0.087883#0', '51.551556#-0.154237#1'] 8
['51.495846#-0.062361#0', '51.475460#-0.153924#1'] 13
['51.555296#-0.175156#0', '51.556184#-0.164179#0'] 21
['51.555296#-0.175156#0', '51.543865#-0.168229#0'] 8
['51.555296#-0.175156#0', '51.551233#-0.192400#0'] 8
['51.555296#-0.175156#0', '51.551233#-0.192400#1'] 12
['51.492086#-0.196830#1', '51.491268#-0.189026#1'] 21
['51.543865#-0.168229#0', '51.546014#-0.181029#1'] 9
['51.543865#-0.168229#0', '51.546014#-0.181029#0'] 19
['51.532068#-0.082485#0', '51.540131#-0.083811#1'] 8
['51.540131#-0.083811#1', '51.550228#-0.085010#1'] 8
['51.540131#-0.083811#1', '51.536363#-0.075726#1'] 15
['51.540131#-0.083811#1', '51.533788#-0.104497#1'] 8
['51.533788#-0.104497#0', '51.540131#-0.083811#1'] 8
['51.540131#-0.083811#1', '51.545370#-0.072736#1'] 9
['51.545370#-0.072736#0', '51.540131#-0.083811#1'] 14
['51.540131#-0.083811#1', '51.526246#-0.079833#1'] 8
['51.482126#-0.096914#1', '51.470442#-0.099923#1'] 8
['51.470442#-0.099923#0', '51.482126#-0.096914#1'] 9
['51.482126#-0.096914#1', '51.473249#-0.083813#1'] 10
