['41.398820#2.162658#0', '41.393079#2.164209#0'] 9
['41.401996#2.157776#0', '41.397560#2.159215#0'] 8
['41.469794#2.081703#0', '41.383313#2.158160#1', '41.387859#2.169580#1'] 8
['41.386006#2.185055#0', '41.395227#2.175297#0', '41.395227#2.175297#1'] 8
['41.384891#2.163855#0', '41.395227#2.175297#1'] 8
['41.386006#2.185055#0', '41.385126#2.180032#0'] 12
['41.386006#2.185055#0', '41.389828#2.180899#0'] 19
['41.386006#2.185055#0', '41.383364#2.183132#0'] 17
['41.386006#2.185055#0', '41.383014#2.176409#0'] 15
['41.379384#2.156315#0', '41.383313#2.158160#0'] 9
['41.384891#2.163855#1', '41.385667#2.167100#1'] 9
['41.384891#2.163855#1', '41.387539#2.160511#1'] 12
['41.384891#2.163855#1', '41.380763#2.163818#1'] 8
['41.384891#2.163855#1', '41.384923#2.171229#1'] 9
['41.395877#2.179108#0', '41.389828#2.180899#0'] 8
['41.380809#2.173534#0', '41.386418#2.196942#1'] 9
['41.383313#2.158160#0', '41.376398#2.149827#0'] 10
['41.383313#2.158160#0', '41.387539#2.160511#0'] 10
['41.383313#2.158160#0', '41.380763#2.163818#0'] 13
['41.383313#2.158160#0', '41.387859#2.169580#0'] 11
['41.404690#2.151256#1', '41.401996#2.157776#1'] 8
['41.400088#2.153158#0', '41.404690#2.151256#1'] 16
['41.413302#2.153124#0', '41.393697#2.160463#1'] 8
['41.413302#2.153124#0', '41.393079#2.164209#1'] 9
['41.413302#2.153124#0', '41.383364#2.183132#0'] 8
['41.413302#2.153124#0', '41.403148#2.173893#0'] 28
['41.413302#2.153124#0', '41.389976#2.166449#1'] 8
['41.413302#2.153124#0', '41.389976#2.166449#0'] 10
['41.413302#2.153124#0', '41.380809#2.173534#0'] 14
['41.413302#2.153124#0', '41.393079#2.164209#0'] 9
['41.413302#2.153124#0', '41.384923#2.171229#0'] 9
['41.384222#2.153058#0', '41.387859#2.169580#0'] 9
['41.385126#2.180032#0', '41.388262#2.176152#0'] 9
['41.385126#2.180032#0', '41.383364#2.183132#0'] 11
['41.385126#2.180032#0', '41.383014#2.176409#0'] 14
['41.381874#2.168668#0', '41.390827#2.146041#0', '41.381874#2.168668#1'] 10
['41.381874#2.168668#1', '41.377652#2.168462#1'] 8
['41.388783#2.150740#0', '41.390827#2.146041#0', '41.381874#2.168668#1'] 8
['41.380763#2.163818#0', '41.381874#2.168668#1'] 8
['41.381874#2.168668#1', '41.380809#2.173534#1'] 10
['41.377652#2.168462#0', '41.374168#2.170953#0'] 9
['41.377652#2.168462#0', '41.380763#2.163818#0'] 10
['41.377652#2.168462#0', '41.380809#2.173534#0'] 11
['41.397560#2.159215#0', '41.393697#2.160463#0'] 10
['41.397560#2.159215#0', '41.393079#2.164209#0'] 9
['41.395227#2.175297#0', '41.391126#2.172356#0'] 11
['41.394848#2.148512#0', '41.390827#2.146041#0'] 9
['41.389828#2.180899#0', '41.388262#2.176152#0'] 12
['41.395244#2.155300#0', '41.391277#2.155879#0'] 14
['41.395244#2.155300#0', '41.393697#2.160463#0'] 8
['41.385667#2.167100#1', '41.387859#2.169580#1'] 20
['41.385667#2.167100#1', '41.384923#2.171229#1'] 10
['41.387859#2.169580#0', '41.385667#2.167100#1'] 11
['41.391126#2.172356#1', '41.387859#2.169580#1'] 12
['41.295633#2.076988#0', '41.289488#2.073808#0'] 39
['41.295633#2.076988#0', '41.403148#2.173893#0'] 8
['41.295633#2.076988#0', '41.387859#2.169580#0'] 11
['41.387859#2.169580#0', '41.391277#2.155879#1'] 9
['41.381874#2.168668#0', '41.385667#2.167100#0'] 11
['41.381874#2.168668#0', '41.380809#2.173534#0'] 10
['41.401996#2.157776#1', '41.400088#2.153158#1'] 9
['41.383313#2.158160#1', '41.387539#2.160511#1'] 8
['41.387859#2.169580#0', '41.383313#2.158160#1', '41.380763#2.163818#1'] 8
['41.383313#2.158160#1', '41.380809#2.173534#1'] 8
['41.387859#2.169580#0', '41.383313#2.158160#1', '41.387859#2.169580#1'] 10
['41.377652#2.168462#1', '41.374168#2.170953#1'] 14
['41.391277#2.155879#0', '41.388783#2.150740#0'] 9
['41.391277#2.155879#0', '41.393697#2.160463#0'] 11
['41.391277#2.155879#0', '41.387859#2.169580#0'] 14
['41.388262#2.176152#0', '41.383014#2.176409#0'] 8
['41.388783#2.150740#0', '41.384923#2.171229#1'] 8
['41.389976#2.166449#0', '41.387539#2.160511#1'] 8
['41.403148#2.173893#0', '41.381235#2.123455#1'] 8
