['51.399583#-0.271749#1', '51.403050#-0.248555#1'] 16
['51.399583#-0.271749#1', '51.414199#-0.222808#1'] 17
['51.396925#-0.229615#1', '51.373325#-0.236061#1'] 17
['51.414199#-0.222808#0', '51.396925#-0.229615#1'] 16
['51.790010#-0.201318#1', '51.768071#-0.227859#1'] 16
['51.578582#-0.261394#1', '51.593554#-0.244315#1'] 16
['51.647522#-0.353141#1', '51.695658#-0.380673#1'] 18
['51.349641#-0.097453#1', '51.383549#-0.086310#1'] 17
['51.349641#-0.097453#1', '51.373368#-0.099501#1'] 30
['51.770615#0.096327#1', '51.756549#0.112561#1'] 18
['51.450035#0.207539#0', '51.445484#0.234540#0'] 24
['51.450035#0.207539#0', '51.445484#0.234540#1'] 16
['51.640842#-0.156377#0', '51.651482#-0.172301#0'] 25
['51.640842#-0.156377#0', '51.651482#-0.172301#1'] 23
['51.399686#0.006115#0', '51.403787#0.021682#0'] 36
['51.380925#0.084455#0', '51.386413#0.106237#0'] 17
['51.441872#-0.201711#1', '51.420295#-0.200431#1'] 21
['51.447170#0.127583#0', '51.453813#0.103424#0'] 21
['51.447170#0.127583#0', '51.454708#0.151991#0'] 28
['51.447170#0.127583#0', '51.425194#0.101538#0'] 16
['51.549108#-0.449492#0', '51.550373#-0.480475#0'] 30
['51.549108#-0.449492#0', '51.532716#-0.475071#0'] 16
['51.446359#-0.131368#0', '51.431425#-0.122051#0'] 23
['51.446359#-0.131368#0', '51.444506#-0.149125#0'] 18
['51.569297#0.097225#0', '51.570622#0.114914#0'] 17
['51.569297#0.097225#0', '51.562139#0.072332#0'] 16
['51.600421#0.042361#0', '51.594087#0.025896#0'] 24
['51.376070#-0.016819#0', '51.396732#-0.035375#0'] 24
['51.445431#0.262926#0', '51.450035#0.207539#1'] 16
['51.649373#-0.198421#1', '51.625086#-0.178636#1'] 20
['51.549108#-0.449492#1', '51.570874#-0.413280#1'] 17
['51.549108#-0.449492#1', '51.550373#-0.480475#1'] 16
['51.550373#-0.480475#0', '51.549108#-0.449492#1'] 18
['51.615167#-0.266488#0', '51.607600#-0.280968#1'] 16
['51.615167#-0.266488#0', '51.607600#-0.280968#0'] 29
['51.615167#-0.266488#0', '51.596638#-0.207427#0', '51.654231#-0.269823#1', '51.596638#-0.207427#1'] 16
['51.615167#-0.266488#0', '51.654231#-0.269823#0', '51.654231#-0.269823#1'] 16
['51.615167#-0.266488#0', '51.612515#-0.248725#0'] 27
['51.615167#-0.266488#0', '51.612515#-0.248725#1'] 20
['51.615167#-0.266488#0', '51.596638#-0.207427#0', '51.654231#-0.269823#0'] 16
['51.615167#-0.266488#0', '51.654231#-0.269823#0', '51.596638#-0.207427#1'] 16
['51.442157#0.179718#0', '51.454708#0.151991#0'] 17
['51.538487#0.034184#0', '51.535449#0.051251#0'] 21
['51.538487#0.034184#0', '51.535247#0.011843#0'] 22
['51.365381#-0.116100#1', '51.357978#-0.142166#1'] 16
['51.365381#-0.116100#1', '51.373368#-0.099501#1'] 20
['51.373368#-0.099501#0', '51.365381#-0.116100#1'] 24
['51.548759#0.199517#0', '51.535653#0.172320#0'] 20
['51.548759#0.199517#0', '51.561916#0.216052#0'] 18
['51.494117#-0.273191#0', '51.469589#-0.251990#1'] 16
['51.768071#-0.227859#0', '51.762685#-0.248470#0'] 27
['51.768071#-0.227859#0', '51.762685#-0.248470#1'] 23
['51.756549#0.112561#0', '51.770615#0.096327#0', '51.756549#0.112561#1'] 20
['51.537767#-0.283660#1', '51.549390#-0.301891#1'] 17
['51.537767#-0.283660#1', '51.425194#0.101538#1'] 23
['51.573923#-0.395420#0', '51.582775#-0.341422#0'] 20
['51.570874#-0.413280#1', '51.573923#-0.395420#1'] 18
['51.460682#0.087049#1', '51.453813#0.103424#1'] 16
['51.453813#0.103424#0', '51.460682#0.087049#1'] 16
['51.459301#0.054527#0', '51.460682#0.087049#1'] 18
['51.460682#0.087049#0', '51.453813#0.103424#0'] 23
['51.460682#0.087049#0', '51.459301#0.054527#0'] 19
['51.468252#0.112412#1', '51.465888#0.132307#1'] 16
['51.592306#-0.010813#1', '51.577715#-0.015065#1'] 19
['51.577715#-0.015065#0', '51.592306#-0.010813#1'] 19
